,filename,part,staff,time_signature,duration,rest_count
57,A_Black_Hand_by_Robert_Hoffman_1908.mscz,part_1,1,2/4,1/4,1
58,A_Black_Hand_by_Robert_Hoffman_1908.mscz,part_1,1,2/4,1/2,1
59,A_Black_Hand_by_Robert_Hoffman_1908.mscz,part_2,2,2/4,1/8,13
60,A_Black_Hand_by_Robert_Hoffman_1908.mscz,part_2,2,2/4,1/4,1
61,A_breeze_from_alabama.mscz,part_1,1,2/4,1/16,7
62,A_breeze_from_alabama.mscz,part_1,1,2/4,1/8,11
63,A_breeze_from_alabama.mscz,part_1,1,2/4,1/4,2
64,baby_i_dont_know_oh_oh_intro.mscz,part_1,1,4/4,1/8,3
65,baby_i_dont_know_oh_oh_intro.mscz,part_1,1,4/4,1/4,4
66,baby_i_dont_know_oh_oh_intro.mscz,part_1,1,4/4,1/2,1
67,baby_i_dont_know_oh_oh_intro.mscz,part_1,1,4/4,1,2
68,baby_i_dont_know_oh_oh_intro.mscz,part_1,2,4/4,1/4,2
69,baby_i_dont_know_oh_oh_intro.mscz,part_1,2,4/4,1/2,1
70,baby_i_dont_know_oh_oh_intro.mscz,part_1,2,4/4,1,5
71,Baby_I_Dont_Know_Oh_Oh__VulfpeckSolo_Piano.mscz,part_1,1,2/4,1/16,1
72,Baby_I_Dont_Know_Oh_Oh__VulfpeckSolo_Piano.mscz,part_1,1,2/4,1/8,1
73,Baby_I_Dont_Know_Oh_Oh__VulfpeckSolo_Piano.mscz,part_1,1,2/4,1/4,1
74,Baby_I_Dont_Know_Oh_Oh__VulfpeckSolo_Piano.mscz,part_1,1,4/4,1/16,10
75,Baby_I_Dont_Know_Oh_Oh__VulfpeckSolo_Piano.mscz,part_1,1,4/4,1/8,9
76,Baby_I_Dont_Know_Oh_Oh__VulfpeckSolo_Piano.mscz,part_1,1,4/4,1/4,14
77,Baby_I_Dont_Know_Oh_Oh__VulfpeckSolo_Piano.mscz,part_1,1,4/4,1/2,2
78,Baby_I_Dont_Know_Oh_Oh__VulfpeckSolo_Piano.mscz,part_1,1,5/4,1/16,9
79,Baby_I_Dont_Know_Oh_Oh__VulfpeckSolo_Piano.mscz,part_1,1,5/4,1/8,3
80,Baby_I_Dont_Know_Oh_Oh__VulfpeckSolo_Piano.mscz,part_1,1,5/4,1/4,4
81,Baby_I_Dont_Know_Oh_Oh__VulfpeckSolo_Piano.mscz,part_1,2,2/4,1/2,1
82,Baby_I_Dont_Know_Oh_Oh__VulfpeckSolo_Piano.mscz,part_1,2,4/4,1/16,1
83,Baby_I_Dont_Know_Oh_Oh__VulfpeckSolo_Piano.mscz,part_1,2,4/4,1/8,8
84,Baby_I_Dont_Know_Oh_Oh__VulfpeckSolo_Piano.mscz,part_1,2,4/4,1/4,2
85,Baby_I_Dont_Know_Oh_Oh__VulfpeckSolo_Piano.mscz,part_1,2,4/4,1/2,2
86,Bach_Up_To_Me__Fats_Waller.mscz,part_1,1,2/2,1/16,3
87,Bach_Up_To_Me__Fats_Waller.mscz,part_1,1,2/2,1/8,16
88,Bach_Up_To_Me__Fats_Waller.mscz,part_1,1,2/2,1/4,89
89,Bach_Up_To_Me__Fats_Waller.mscz,part_1,1,2/2,1/2,1
90,Bach_Up_To_Me__Fats_Waller.mscz,part_1,2,2/2,1/8,1
91,Bach_Up_To_Me__Fats_Waller.mscz,part_1,2,2/2,1/4,11
92,Bach_Up_To_Me__Fats_Waller.mscz,part_1,2,2/2,1/2,1
93,Ben_Hur_Chariot_Race_March_by_E.T._Paull_1894.mscz,part_1,1,2/4,1/8,55
94,Ben_Hur_Chariot_Race_March_by_E.T._Paull_1894.mscz,part_1,1,2/4,1/4,4
95,Ben_Hur_Chariot_Race_March_by_E.T._Paull_1894.mscz,part_2,2,2/4,1/8,18
96,Ben_Hur_Chariot_Race_March_by_E.T._Paull_1894.mscz,part_2,2,2/4,1/4,5
97,Bethena_-_Scott_Joplin.mscz,part_1,1,3/4,1/4,7
98,Bethena_-_Scott_Joplin.mscz,part_1,1,3/4,3/4,2
99,Bethena_-_Scott_Joplin.mscz,part_1,2,3/4,1/4,3
100,Bethena_-_Scott_Joplin.mscz,part_1,2,3/4,3/4,2
101,Big_Bad_Bill_Is_Sweet_William_Now__Lead_sheet_with_lyrics_.mscz,part_1,1,4/4,1/8,9
102,Big_Bad_Bill_Is_Sweet_William_Now__Lead_sheet_with_lyrics_.mscz,part_1,1,4/4,1/6,2
103,Big_Bad_Bill_Is_Sweet_William_Now__Lead_sheet_with_lyrics_.mscz,part_1,1,4/4,1/4,12
104,Big_Bad_Bill_Is_Sweet_William_Now__Lead_sheet_with_lyrics_.mscz,part_1,1,4/4,1/2,5
105,Big_Bad_Bill_Is_Sweet_William_Now__Lead_sheet_with_lyrics_.mscz,part_1,1,4/4,1,7
106,Black_and_White_Rag_-_arr._Winifred_Atwell.mscz,part_1,1,2/4,1/16,28
107,Black_and_White_Rag_-_arr._Winifred_Atwell.mscz,part_1,1,2/4,1/8,5
108,Black_and_White_Rag_-_arr._Winifred_Atwell.mscz,part_1,1,2/4,1/4,6
109,Black_and_White_Rag_-_arr._Winifred_Atwell.mscz,part_1,1,2/4,1/2,2
110,Black_and_White_Rag_-_arr._Winifred_Atwell.mscz,part_1,2,2/4,1/16,38
111,Black_and_White_Rag_-_arr._Winifred_Atwell.mscz,part_1,2,2/4,1/8,3
112,Black_and_White_Rag_-_arr._Winifred_Atwell.mscz,part_1,2,2/4,1/4,3
113,Black_and_White_Rag_-_George_Botsford.mscz,part_1,1,2/4,1/16,8
114,Black_and_White_Rag_-_George_Botsford.mscz,part_1,1,2/4,1/8,5
115,Black_and_White_Rag_-_George_Botsford.mscz,part_1,2,2/4,1/16,8
116,Black_and_White_Rag_-_George_Botsford.mscz,part_1,2,2/4,1/8,16
117,Black_and_White_Rag_-_George_Botsford.mscz,part_1,2,2/4,1/4,7
118,Black_and_White_Rag_-_George_Botsford.mscz,part_1,2,2/4,1/2,3
119,Black_and_White_Rag__George_Botsford (1).mscz,part_1,1,2/4,1/16,8
120,Black_and_White_Rag__George_Botsford (1).mscz,part_1,2,2/4,3/16,8
121,Black_and_White_Rag__George_Botsford (1).mscz,part_1,2,2/4,1/4,4
122,Black_and_White_Rag__George_Botsford (1).mscz,part_1,2,2/4,3/8,3
123,Black_and_White_Rag__George_Botsford (1).mscz,part_1,2,2/4,1/2,3
124,Black_and_White_Rag__George_Botsford.mscz,part_1,1,2/4,1/16,5
125,Black_and_White_Rag__George_Botsford.mscz,part_1,1,2/4,1/8,9
126,Black_and_White_Rag__George_Botsford.mscz,part_1,1,2/4,1/4,1
127,Black_and_White_Rag__George_Botsford.mscz,part_1,1,2/4,1/2,3
128,Black_and_White_Rag__George_Botsford.mscz,part_2,2,2/4,1/16,3
129,Black_and_White_Rag__George_Botsford.mscz,part_2,2,2/4,1/8,6
130,Black_and_White_Rag__George_Botsford.mscz,part_2,2,2/4,1/4,3
131,Black_Diamond_Rag_by_Henry_Lodge_1912.mscz,part_1,1,2/4,1/16,18
132,Black_Diamond_Rag_by_Henry_Lodge_1912.mscz,part_1,1,2/4,1/8,25
133,Black_Diamond_Rag_by_Henry_Lodge_1912.mscz,part_1,1,2/4,1/4,1
134,Black_Diamond_Rag_by_Henry_Lodge_1912.mscz,part_2,2,2/4,1/8,14
135,Black_Diamond_Rag_by_Henry_Lodge_1912.mscz,part_2,2,2/4,1/4,2
136,Black_Diamond_Rag_by_Henry_Lodge_1912.mscz,part_2,2,2/4,1/2,2
137,Blue_-_Boogie_etude.mscz,part_1,1,4/4,1/8,12
138,Blue_-_Boogie_etude.mscz,part_1,1,4/4,1/4,36
139,Blue_-_Boogie_etude.mscz,part_1,1,4/4,1/2,1
140,Blue_-_Boogie_etude.mscz,part_1,1,4/4,1,1
141,Blue_-_Boogie_etude.mscz,part_1,2,4/4,1/8,3
142,Blue_-_Boogie_etude.mscz,part_1,2,4/4,1/4,4
143,Blue_in_green_piano_rif.mscz,part_1,1,4/4,1/8,2
144,Blue_in_green_piano_rif.mscz,part_1,1,4/4,1/2,3
145,Blue_in_green_piano_rif.mscz,part_1,2,4/4,1/8,1
146,Blue_Lampshade_for_fun.mscz,part_1,1,10/4,1/8,1
147,Blue_Lampshade_for_fun.mscz,part_1,1,11/4,1/16,1
148,Blue_Lampshade_for_fun.mscz,part_1,1,4/4,1/8,27
149,Blue_Lampshade_for_fun.mscz,part_1,1,4/4,1/4,23
150,Blue_Lampshade_for_fun.mscz,part_1,1,4/4,1/2,2
151,Blue_Lampshade_for_fun.mscz,part_1,1,4/4,1,4
152,Blue_Lampshade_for_fun.mscz,part_1,2,10/4,1/8,1
153,Blue_Lampshade_for_fun.mscz,part_1,2,10/4,1/4,1
154,Blue_Lampshade_for_fun.mscz,part_1,2,10/4,1,2
155,Blue_Lampshade_for_fun.mscz,part_1,2,11/4,1/4,1
156,Blue_Lampshade_for_fun.mscz,part_1,2,11/4,2,1
157,Blue_Lampshade_for_fun.mscz,part_1,2,4/4,1/8,25
158,Blue_Lampshade_for_fun.mscz,part_1,2,4/4,1/4,31
159,Blue_Lampshade_for_fun.mscz,part_1,2,4/4,1/2,7
160,Blue_Lampshade_for_fun.mscz,part_1,2,4/4,1,2
161,Blue_Lampshade_for_fun.mscz,part_1,2,7/4,1/4,5
162,Blue_Lampshade_for_fun.mscz,part_1,2,9/8,1/8,1
163,Boogie_woogie__Misc_Traditional_Boogie_Woogie___Basic_Piano_Solo_for_Beginners.mscz,part_1,1,4/4,1/16,1
164,Boogie_woogie__Misc_Traditional_Boogie_Woogie___Basic_Piano_Solo_for_Beginners.mscz,part_1,1,4/4,1/8,6
165,Boogie_woogie__Misc_Traditional_Boogie_Woogie___Basic_Piano_Solo_for_Beginners.mscz,part_1,1,4/4,1/4,3
166,Boogie_woogie__Misc_Traditional_Boogie_Woogie___Basic_Piano_Solo_for_Beginners.mscz,part_1,1,5/4,1/16,100
167,Boogie_woogie__Misc_Traditional_Boogie_Woogie___Basic_Piano_Solo_for_Beginners.mscz,part_1,1,5/4,3/16,15
168,Boogie_woogie__Misc_Traditional_Boogie_Woogie___Basic_Piano_Solo_for_Beginners.mscz,part_1,1,5/4,1/4,52
169,Boogie_woogie__Misc_Traditional_Boogie_Woogie___Basic_Piano_Solo_for_Beginners.mscz,part_1,1,5/4,1/2,24
170,Boogie_woogie__Misc_Traditional_Boogie_Woogie___Basic_Piano_Solo_for_Beginners.mscz,part_1,2,4/4,1/16,1
171,Boogie_woogie__Misc_Traditional_Boogie_Woogie___Basic_Piano_Solo_for_Beginners.mscz,part_1,2,4/4,1/8,6
172,Boogie_woogie__Misc_Traditional_Boogie_Woogie___Basic_Piano_Solo_for_Beginners.mscz,part_1,2,4/4,1/4,3
173,Boogie_woogie__Misc_Traditional_Boogie_Woogie___Basic_Piano_Solo_for_Beginners.mscz,part_1,2,4/4,3/8,2
174,Boogie_woogie__Misc_Traditional_Boogie_Woogie___Basic_Piano_Solo_for_Beginners.mscz,part_1,2,5/4,1/4,2
175,Bouncing_on_the_Keys.mscz,part_1,1,2/2,1/8,18
176,Bouncing_on_the_Keys.mscz,part_1,1,2/2,1/4,22
177,Bouncing_on_the_Keys.mscz,part_1,1,2/2,1/2,9
178,Bouncing_on_the_Keys.mscz,part_1,2,2/2,1/8,35
179,Bouncing_on_the_Keys.mscz,part_1,2,2/2,1/4,11
180,Bouncing_on_the_Keys.mscz,part_1,2,2/2,1/2,10
181,Bouncing_on_the_Keys.mscz,part_1,2,2/2,1,2
182,C64_Cees_Kramer.mscz,part_1,1,3/4,1/8,3
183,C64_Cees_Kramer.mscz,part_1,1,4/4,1/8,1
184,C64_Cees_Kramer.mscz,part_1,2,3/4,1/8,2
185,C64_Cees_Kramer.mscz,part_1,2,3/4,1/4,2
186,C64_Cees_Kramer.mscz,part_1,2,3/4,3/4,37
187,C64_Cees_Kramer.mscz,part_1,2,4/4,1/24,1
188,C64_Cees_Kramer.mscz,part_1,2,4/4,1/16,1
189,C64_Cees_Kramer.mscz,part_1,2,4/4,1/8,1
190,C64_Cees_Kramer.mscz,part_1,2,4/4,3/4,1
191,Careless_Love.mscz,part_1,1,2/2,1/8,1
192,Careless_Love.mscz,part_1,1,2/2,1/2,1
193,Careless_Love__W._C._Handy_Careless_Love.mscz,part_1,1,4/4,1/4,2
194,Careless_Love__W._C._Handy_Careless_Love.mscz,part_1,1,4/4,1/2,4
195,Careless_Love__W._C._Handy_Careless_Love.mscz,part_4,1,4/4,1/4,2
196,Careless_Love__W._C._Handy_Careless_Love.mscz,part_4,1,4/4,1/2,4
197,Changes.mscz,part_1,1,4/4,1/8,16
198,Changes.mscz,part_1,1,4/4,3/16,31
199,Changes.mscz,part_1,1,4/4,1/4,51
200,Changes.mscz,part_1,1,4/4,1,1
201,Changes.mscz,part_1,2,4/4,1/16,1
202,Changes.mscz,part_1,2,4/4,1/4,23
203,Changes.mscz,part_1,2,4/4,1/2,1
204,ChariotsBb.mscz,part_1,1,4/4,1/8,14
205,ChariotsBb.mscz,part_1,1,4/4,1/4,5
206,ChariotsBb.mscz,part_1,1,4/4,1/2,1
207,ChariotsBb.mscz,part_1,1,4/4,1,3
208,Checker_Rag.mscz,part_1,1,2/4,1/16,9
209,Checker_Rag.mscz,part_1,1,2/4,1/8,13
210,Checker_Rag.mscz,part_1,2,2/4,1/8,12
211,Checker_Rag.mscz,part_1,2,2/4,1/4,1
212,Checker_Rag.mscz,part_1,2,2/4,1/2,3
213,Childrens_Song_No._4.mscz,part_1,1,6/8,1/8,3
214,Childrens_Song_No._4.mscz,part_1,1,6/8,3/4,6
215,Childrens_Song_No._4.mscz,part_1,2,6/8,1/8,170
216,Chinese_Firecrackers.mscz,part_2,2,2/2,1/8,13
217,Chinese_Firecrackers.mscz,part_2,2,2/2,1/4,8
218,Chinese_Firecrackers.mscz,part_2,2,2/2,1/2,6
219,Chinese_Firecrackers.mscz,part_2,2,4/4,1/4,2
220,Chinese_Firecrackers.mscz,part_2,2,4/4,1/2,3
221,Chinese_Firecrackers.mscz,part_2,3,2/2,1/4,16
222,Chinese_Firecrackers.mscz,part_2,3,4/4,1/4,1
223,Chopins_tude_Op._10_No.1_with_an_inner_voice_with_unusual_authors_accents.mscz,part_1,1,4/4,1/16,37
224,Chopins_tude_Op._10_No.1_with_an_inner_voice_with_unusual_authors_accents.mscz,part_1,1,4/4,1/4,2
225,Chopins_tude_Op._10_No.1_with_an_inner_voice_with_unusual_authors_accents.mscz,part_1,1,4/4,5/4,1
226,Chopins_tude_Op._10_No.1_with_an_inner_voice_with_unusual_authors_accents.mscz,part_1,2,4/4,1/4,1
227,Cleopha__Scott_Joplin.mscz,part_1,1,2/4,1/8,42
228,Cleopha__Scott_Joplin.mscz,part_1,1,2/4,1/4,1
229,Cleopha__Scott_Joplin.mscz,part_1,2,2/4,1/8,4
230,Clover_Club_Piano_Roll_Transcription_Felix_Arndt_1915.mscz,part_1,1,4/4,1/12,3
231,Clover_Club_Piano_Roll_Transcription_Felix_Arndt_1915.mscz,part_1,1,4/4,1/8,3
232,Clover_Club_Piano_Roll_Transcription_Felix_Arndt_1915.mscz,part_1,1,4/4,1/4,2
233,Clover_Club_Piano_Roll_Transcription_Felix_Arndt_1915.mscz,part_2,2,4/4,1/8,6
234,Clover_Club_Piano_Roll_Transcription_Felix_Arndt_1915.mscz,part_2,2,4/4,3/16,1
235,Clover_Club_Piano_Roll_Transcription_Felix_Arndt_1915.mscz,part_2,2,4/4,1/4,18
236,Clover_Club_Piano_Roll_Transcription_Felix_Arndt_1915.mscz,part_2,2,4/4,1/2,1
237,Clover_Club_Piano_Roll_Transcription_Felix_Arndt_1915.mscz,part_2,2,4/4,1,1
238,Colonial_Glide__by_Paul_Pratt_1910.mscz,part_1,1,2/4,1/16,26
239,Colonial_Glide__by_Paul_Pratt_1910.mscz,part_1,1,2/4,1/8,28
240,Colonial_Glide__by_Paul_Pratt_1910.mscz,part_2,2,2/4,1/8,12
241,Columbia_Rag.mscz,part_1,1,2/4,1/8,14
242,Columbia_Rag.mscz,part_1,2,2/4,1/16,1
243,Columbia_Rag.mscz,part_1,2,2/4,1/8,25
244,Columbia_Rag.mscz,part_1,2,2/4,1/4,1
245,Come_Thou_Fount_of_Every_Blessing_-_Robert_Robinson.mscz,part_1,2,3/4,1/4,2
246,Cool_Cool_Mountain_Theme_as_played_by_Tom_Brier.mscz,part_1,1,2/4,1/16,36
247,Cool_Cool_Mountain_Theme_as_played_by_Tom_Brier.mscz,part_1,1,2/4,1/8,38
248,Cool_Cool_Mountain_Theme_as_played_by_Tom_Brier.mscz,part_1,1,2/4,1/4,10
249,Cool_Cool_Mountain_Theme_as_played_by_Tom_Brier.mscz,part_1,1,2/4,3/8,1
250,Cool_Cool_Mountain_Theme_as_played_by_Tom_Brier.mscz,part_1,1,2/4,1/2,10
251,Cool_Cool_Mountain_Theme_as_played_by_Tom_Brier.mscz,part_1,1,4/4,1/4,1
252,Cool_Cool_Mountain_Theme_as_played_by_Tom_Brier.mscz,part_1,2,2/4,1/16,10
253,Cool_Cool_Mountain_Theme_as_played_by_Tom_Brier.mscz,part_1,2,2/4,1/8,9
254,Cool_Cool_Mountain_Theme_as_played_by_Tom_Brier.mscz,part_1,2,2/4,3/16,1
255,Cool_Cool_Mountain_Theme_as_played_by_Tom_Brier.mscz,part_1,2,2/4,1/4,4
256,Cool_Cool_Mountain_Theme_as_played_by_Tom_Brier.mscz,part_1,2,2/4,1/2,19
257,Curtis_Fuller_-Locomotion.mscz,part_1,1,4/4,1/16,60
258,Curtis_Fuller_-Locomotion.mscz,part_1,1,4/4,1/8,17
259,Curtis_Fuller_-Locomotion.mscz,part_1,1,4/4,1/4,22
260,Curtis_Fuller_-Locomotion.mscz,part_1,1,4/4,1/2,6
261,Dance_Date.mscz,part_1,1,4/4,1/8,17
262,Dance_Date.mscz,part_1,1,4/4,1,1
263,Dance_Date.mscz,part_1,2,4/4,1/8,20
264,Dance_Date.mscz,part_1,2,4/4,1/4,3
265,Dance_Date.mscz,part_1,2,4/4,1/2,12
266,Dance_Date.mscz,part_1,2,4/4,1,6
267,Danny_Boy_-_Reharmonized.mscz,part_1,1,4/4,1/16,2
268,Danny_Boy_-_Reharmonized.mscz,part_1,1,4/4,1/12,3
269,Danny_Boy_-_Reharmonized.mscz,part_1,1,4/4,1/8,1
270,Danny_Boy_-_Reharmonized.mscz,part_1,1,4/4,1/2,1
271,Danny_Boy_-_Reharmonized.mscz,part_1,2,4/4,1/8,1
272,Danny_Boy_-_Reharmonized.mscz,part_1,2,4/4,1/4,1
273,Danny_Boy_-_Reharmonized.mscz,part_1,2,4/4,1/2,2
274,Danny_boy_Bill_Evans.mscz,part_1,1,4/4,1/24,1
275,Danny_boy_Bill_Evans.mscz,part_1,1,4/4,1/16,3
276,Danny_boy_Bill_Evans.mscz,part_1,1,4/4,1/8,9
277,Danny_boy_Bill_Evans.mscz,part_1,1,4/4,1/4,1
278,Danny_boy_Bill_Evans.mscz,part_1,1,4/4,1/2,1
279,Danny_boy_Bill_Evans.mscz,part_1,2,4/4,1/16,4
280,Danny_boy_Bill_Evans.mscz,part_1,2,4/4,1/8,2
281,Danny_boy_Bill_Evans.mscz,part_1,2,4/4,1/4,4
282,Danny_boy_Bill_Evans.mscz,part_1,2,4/4,1/2,4
283,Dat_Dere.mscz,part_1,1,4/4,1/12,2
284,Dat_Dere.mscz,part_1,1,4/4,1/8,19
285,Dat_Dere.mscz,part_1,1,4/4,1/4,1
286,Deep_In_a_Dream.mscz,part_1,1,4/4,1/8,3
287,Deep_In_a_Dream.mscz,part_1,1,4/4,1/4,3
288,Deep_In_a_Dream.mscz,part_1,1,4/4,1/2,1
289,Desecration_by_Felix_Arndt_1914.mscz,part_1,1,4/4,1/12,4
290,Desecration_by_Felix_Arndt_1914.mscz,part_1,1,4/4,1/8,17
291,Desecration_by_Felix_Arndt_1914.mscz,part_1,1,4/4,3/16,1
292,Desecration_by_Felix_Arndt_1914.mscz,part_1,1,4/4,1/4,81
293,Desecration_by_Felix_Arndt_1914.mscz,part_1,1,4/4,1/2,10
294,Desecration_by_Felix_Arndt_1914.mscz,part_1,1,4/4,1,15
295,Desecration_by_Felix_Arndt_1914.mscz,part_2,2,4/4,1/8,10
296,Desecration_by_Felix_Arndt_1914.mscz,part_2,2,4/4,1/4,43
297,Desecration_by_Felix_Arndt_1914.mscz,part_2,2,4/4,1/2,9
298,Desecration_by_Felix_Arndt_1914.mscz,part_2,2,4/4,1,16
299,Dialogues_for_Jazz_Combo_and_Orchestra_II._Andante_-_Ballad.mscz,part_1,1,4/4,1/16,1
300,Dialogues_for_Jazz_Combo_and_Orchestra_II._Andante_-_Ballad.mscz,part_1,1,4/4,1/8,3
301,Dialogues_for_Jazz_Combo_and_Orchestra_II._Andante_-_Ballad.mscz,part_1,1,4/4,1/4,1
302,Dialogues_for_Jazz_Combo_and_Orchestra_II._Andante_-_Ballad.mscz,part_1,2,4/4,1/8,1
303,Dialogues_for_Jazz_Combo_and_Orchestra_II._Andante_-_Ballad.mscz,part_1,2,4/4,1,1
304,Dill_Pickles_-_Charles_L_Johnson_-_c1906.mscz,part_1,1,2/4,1/8,19
305,Dill_Pickles_-_Charles_L_Johnson_-_c1906.mscz,part_1,1,2/4,1/4,2
306,Dill_Pickles_-_Charles_L_Johnson_-_c1906.mscz,part_1,1,2/4,1/2,8
307,Dill_Pickles_-_Charles_L_Johnson_-_c1906.mscz,part_1,2,2/4,1/8,10
308,Doodlin.mscz,part_1,1,4/4,1/4,6
309,Doodlin.mscz,part_1,1,4/4,1/2,2
310,Doodlin.mscz,part_1,1,4/4,1,2
311,Dusting_the_Keys_by_Edward_Claypoole_1923.mscz,part_1,1,4/4,1/16,59
312,Dusting_the_Keys_by_Edward_Claypoole_1923.mscz,part_1,1,4/4,1/8,54
313,Dusting_the_Keys_by_Edward_Claypoole_1923.mscz,part_1,1,4/4,3/16,15
314,Dusting_the_Keys_by_Edward_Claypoole_1923.mscz,part_1,1,4/4,1/4,28
315,Dusting_the_Keys_by_Edward_Claypoole_1923.mscz,part_1,2,4/4,1/16,5
316,Dusting_the_Keys_by_Edward_Claypoole_1923.mscz,part_1,2,4/4,1/8,30
317,Dusting_the_Keys_by_Edward_Claypoole_1923.mscz,part_1,2,4/4,1/4,19
318,Dusting_the_Keys_by_Edward_Claypoole_1923.mscz,part_1,2,4/4,1/2,8
319,Dusting_the_Keys_by_Edward_Claypoole_1923.mscz,part_1,2,4/4,1,9
320,Echoes_Unique_by_Edward_Claypoole_1916.mscz,part_1,1,4/4,1/8,13
321,Echoes_Unique_by_Edward_Claypoole_1916.mscz,part_1,1,4/4,3/16,1
322,Echoes_Unique_by_Edward_Claypoole_1916.mscz,part_1,1,4/4,1/4,10
323,Echoes_Unique_by_Edward_Claypoole_1916.mscz,part_1,2,4/4,1/8,29
324,Echoes_Unique_by_Edward_Claypoole_1916.mscz,part_1,2,4/4,1/4,31
325,Echoes_Unique_by_Edward_Claypoole_1916.mscz,part_1,2,4/4,1,12
326,Efficiency_Rag_1917.mscz,part_1,1,2/4,1/8,12
327,Efficiency_Rag_1917.mscz,part_1,2,2/4,1/8,13
328,Efficiency_Rag_1917.mscz,part_1,2,2/4,1/4,5
329,Elite_Syncopations_-_1902.mscz,part_1,1,2/4,1/16,47
330,Elite_Syncopations_-_1902.mscz,part_1,1,2/4,1/8,11
